Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
A.J. Burnett,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,16500000
A.J. Ellis,Los Angeles Dodgers,Catcher,No,National,National West,No,No,No,421000
A.J. Pierzynski,Chicago White Sox,Catcher,No,American,American Central,No,No,No,2000000
Aaron Cook,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,9875000
Aaron Crow,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,1400000
Aaron Harang,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,3500000
Aaron Heilman,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,2000000
Aaron Hill,Toronto Blue Jays,Second Baseman,No,American,American East,No,No,No,5000000
Aaron Laffey,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,431600
Aaron Miles,Los Angeles Dodgers,Second Baseman,No,National,National West,No,No,No,500000
Aaron Rowand,San Francisco Giants,Outfielder,No,National,National West,No,No,No,13600000
Adam Dunn,Chicago White Sox,Designated Hitter,No,American,American Central,No,No,No,12000000
Adam Everett,Cleveland Indians,Shortstop,No,American,American Central,No,No,No,700000
Adam Jones,Baltimore Orioles,Outfielder,No,American,American East,No,No,No,3250000
Adam Kennedy,Seattle Mariners,Second Baseman,No,American,American West,No,No,No,750000
Adam LaRoche,Washington Nationals,First Baseman,No,National,National East,No,No,No,7000000
Adam Lind,Toronto Blue Jays,First Baseman,No,American,American East,No,No,No,5150000
Adam Moore,Seattle Mariners,Catcher,No,American,American West,No,No,No,417500
Adam Rosales,Oakland Athletics,Second Baseman,No,American,American West,No,No,No,425000
Adam Russell,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,420800
Adam Wainwright,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,6687500
Adrian Beltre,Texas Rangers,Third Baseman,No,American,American West,No,Yes,Yes,14000000
Adrian Gonzalez,Boston Red Sox,First Baseman,No,American,American East,No,No,No,6300000
Albert Pujols,St. Louis Cardinals,First Baseman,No,National,National Central,No,Yes,Yes,14508395
Alberto Arias,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,439500
Alberto Callaspo,Los Angeles Angels,First Baseman,No,American,American West,No,No,No,2000000
Alberto Gonzalez,San Diego Padres,Shortstop,No,National,National West,No,No,No,600000
Alcides Escobar,Kansas City Royals,Shortstop,No,American,American Central,No,No,No,428000
Alex Avila,Detroit Tigers,Catcher,No,American,American Central,No,Yes,No,425000
Alex Cora,Washington Nationals,Second Baseman,No,National,National East,No,No,No,900000
Alex Gonzalez,Atlanta Braves,Shortstop,No,National,National East,No,No,No,2500000
Alex Gordon,Kansas City Royals,Outfielder,No,American,American Central,No,No,No,1400000
Alex Rios,Chicago White Sox,Outfielder,No,American,American Central,No,No,No,12500000
Alex Rodriguez,New York Yankees,Third Baseman,No,American,American East,Yes,Yes,No,32000000
Alexei Ramirez,Chicago White Sox,Shortstop,No,American,American Central,No,No,No,2750000
Alexi Casilla,Minnesota Twins,Shortstop,No,American,American Central,No,No,No,865000
Alexi Ogando,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,430150
Alfonso Soriano,Chicago Cubs,Outfielder,No,National,National Central,No,No,No,19000000
Allen Craig,St. Louis Cardinals,Outfielder,No,National,National Central,No,Yes,Yes,414000
Andre Ethier,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,9500000
Andres Blanco,Texas Rangers,Second Baseman,No,American,American West,No,Yes,Yes,520000
Andres Torres,San Francisco Giants,Outfielder,No,National,National West,No,No,No,2200000
Andrew Bailey,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,465000
Andrew Cashner,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,427500
Andrew McCutchen,Pittsburgh Pirates,Outfielder,No,National,National Central,No,No,No,452500
Andruw Jones,New York Yankees,Outfielder,No,American,American East,Yes,Yes,No,1500000
Andy LaRoche,Oakland Athletics,Third Baseman,No,American,American West,No,No,No,600000
Andy Sonnanstine,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,912500
Aneury Rodriguez,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,414000
Angel Pagan,New York Mets,Outfielder,No,National,National East,No,No,No,3500000
Angel Sanchez,Houston Astros,Shortstop,No,National,National Central,No,No,No,432500
Anibal Sanchez,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,3700000
Antonio Bastardo,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,419000
Aramis Ramirez,Chicago Cubs,Third Baseman,No,National,National Central,No,No,No,14600000
Armando Galarraga,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,2300000
Aroldis Chapman,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,3835772
Arthur Rhodes,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,3900000
Asdrubal Cabrera,Cleveland Indians,Shortstop,No,American,American Central,No,No,No,2025000
Aubrey Huff,San Francisco Giants,First Baseman,No,National,National West,No,No,No,10000000
Austin Jackson,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,440000
Austin Kearns,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,1300000
B.J. Upton,Tampa Bay Rays,Outfielder,No,American,American East,No,Yes,No,4825000
